Episode,Reward,Steps,Reason
31,66.41,27,FALL
32,15.79,11,FALL
33,16.34,11,FALL
34,25.33,15,FALL
35,39.65,20,FALL
36,65.44,27,FALL
37,6.98,8,FALL
38,53.74,24,FALL
39,18.24,12,FALL
40,24.32,16,FALL
41,20.75,13,FALL
42,21.94,14,FALL
43,17.28,12,FALL
44,53.49,25,FALL
45,12.87,10,FALL
46,10.66,9,FALL
47,20.61,12,FALL
48,15.98,11,FALL
49,24.28,15,FALL
50,25.97,16,FALL
51,47.51,22,FALL
52,18.43,12,FALL
53,24.93,16,FALL
54,18.42,12,FALL
55,13.71,10,FALL
56,17.16,12,FALL
57,87.86,34,FALL
58,8.25,8,FALL
59,66.22,30,FALL
60,-0.79,5,FALL
61,199.84,68,FALL
62,46.75,21,FALL
63,11.26,9,FALL
64,18.74,12,FALL
65,17.14,11,FALL
66,15.31,11,FALL
67,48.49,22,FALL
68,25.72,15,FALL
69,18.71,12,FALL
70,12.27,10,FALL
71,14.14,10,FALL
72,34.35,18,FALL
73,74.70,30,FALL
74,17.77,12,FALL
75,55.50,27,FALL
76,59.73,26,FALL
77,24.35,14,FALL
78,14.27,11,FALL
79,110.97,44,FALL
80,18.26,12,FALL
81,65.70,30,FALL
82,16.07,11,FALL
83,-3.05,4,FALL
84,18.67,11,FALL
85,23.78,14,FALL
86,11.61,10,FALL
87,12.75,9,FALL
88,101.02,38,FALL
89,73.62,31,FALL
90,19.75,12,FALL
91,14.99,11,FALL
92,78.20,30,FALL
93,24.91,14,FALL
94,65.71,28,FALL
95,7.34,8,FALL
96,22.78,13,FALL
97,17.70,12,FALL
98,12.01,9,FALL
99,22.51,14,FALL
100,98.35,39,FALL
0,122.35,46,FALL
1,47.85,23,FALL
2,10.65,8,FALL
3,18.88,11,FALL
4,16.77,11,FALL
5,14.18,10,FALL
6,17.58,11,FALL
7,156.58,55,FALL
8,16.34,11,FALL
9,19.18,13,FALL
10,29.31,16,FALL
11,54.52,25,FALL
12,17.43,12,FALL
13,45.40,23,FALL
14,13.30,10,FALL
15,97.64,37,FALL
16,7.44,8,FALL
17,19.60,12,FALL
18,26.79,17,FALL
19,24.05,15,FALL
20,32.21,18,FALL
21,15.28,10,FALL
22,16.23,11,FALL
23,18.56,12,FALL
24,12.58,9,FALL
25,252.37,86,FALL
26,52.30,24,FALL
27,30.19,16,FALL
28,32.37,18,FALL
29,22.31,13,FALL
30,15.53,10,FALL
31,34.35,18,FALL
32,217.35,75,FALL
33,47.12,23,FALL
34,47.17,23,FALL
35,56.27,26,FALL
36,49.95,22,FALL
37,19.81,12,FALL
38,10.75,8,FALL
39,18.63,13,FALL
40,10.30,9,FALL
41,21.36,13,FALL
42,12.30,9,FALL
43,53.21,25,FALL
44,5.36,7,FALL
45,32.07,17,FALL
46,33.52,18,FALL
47,95.16,37,FALL
48,14.37,11,FALL
49,4.91,7,FALL
50,18.29,12,FALL
51,99.83,39,FALL
52,48.03,22,FALL
53,42.42,20,FALL
54,142.59,52,FALL
55,9.87,8,FALL
56,21.41,13,FALL
57,18.16,12,FALL
58,14.27,10,FALL
59,12.59,10,FALL
60,55.73,26,FALL
61,16.84,12,FALL
62,21.27,13,FALL
63,35.68,19,FALL
64,15.28,10,FALL
65,138.24,52,FALL
66,22.47,14,FALL
67,15.21,11,FALL
68,25.81,15,FALL
69,68.27,28,FALL
70,18.67,13,FALL
71,13.18,10,FALL
72,-0.86,5,FALL
73,79.66,31,FALL
74,96.37,39,FALL
75,86.38,32,FALL
76,24.33,15,FALL
77,23.73,14,FALL
78,9.96,9,FALL
79,90.92,37,FALL
80,58.78,26,FALL
81,11.99,9,FALL
82,271.60,96,FALL
83,14.79,11,FALL
84,17.56,11,FALL
85,28.83,18,FALL
86,-3.00,4,FALL
87,15.36,10,FALL
88,55.59,25,FALL
89,22.53,14,FALL
90,57.82,26,FALL
91,9.38,8,FALL
92,13.72,10,FALL
93,16.02,10,FALL
94,18.04,13,FALL
95,21.48,14,FALL
96,9.98,9,FALL
97,14.95,10,FALL
98,14.48,10,FALL
99,13.45,11,FALL
100,-0.54,5,FALL
0,20.42,13,FALL
1,97.53,38,FALL
2,60.03,25,FALL
3,15.20,10,FALL
4,12.77,9,FALL
5,15.24,11,FALL
6,15.64,11,FALL
7,40.82,19,FALL
8,32.93,17,FALL
9,105.57,40,FALL
10,12.93,10,FALL
11,11.31,9,FALL
12,31.00,16,FALL
13,9.58,8,FALL
14,58.03,26,FALL
15,15.61,11,FALL
16,15.20,10,FALL
17,21.29,12,FALL
18,16.40,11,FALL
