Episode,Reward,Steps,Reason,Time
168,-64.07,18,FALL,21:35:46
169,-46.99,20,FALL,21:35:51
170,-80.96,11,FALL,21:35:55
171,-77.57,13,FALL,21:36:00
172,-62.17,15,FALL,21:36:04
173,-79.90,8,FALL,21:36:09
174,-24.89,27,FALL,21:36:14
175,10.58,47,FALL,21:36:20
176,-69.32,12,FALL,21:36:24
177,-46.86,23,FALL,21:36:29
178,-63.25,14,FALL,21:36:33
179,-32.49,27,FALL,21:36:38
180,-61.73,19,FALL,21:36:43
181,-65.49,16,FALL,21:36:48
182,-66.15,13,FALL,21:36:52
183,-86.36,9,FALL,21:36:57
184,-53.77,18,FALL,21:37:01
185,-79.70,11,FALL,21:37:06
186,-90.38,9,FALL,21:37:10
187,-54.86,19,FALL,21:37:15
188,-25.23,32,FALL,21:37:20
189,-6.05,35,FALL,21:37:26
190,-86.25,8,FALL,21:37:30
191,48.60,55,FALL,21:37:36
192,-58.46,15,FALL,21:37:41
193,-80.05,9,FALL,21:37:45
194,-86.22,6,FALL,21:37:49
195,-52.23,20,FALL,21:37:55
196,18.24,44,FALL,21:38:00
197,-73.79,16,FALL,21:38:05
198,-31.53,25,FALL,21:38:10
199,-59.60,16,FALL,21:38:15
200,-83.28,7,FALL,21:38:19
201,-11.36,38,FALL,21:38:25
202,-65.66,14,FALL,21:38:29
203,-60.15,19,FALL,21:38:34
204,-62.17,16,FALL,21:38:39
205,-83.21,7,FALL,21:38:43
206,-2.05,39,FALL,21:38:49
207,-10.46,35,FALL,21:38:54
208,-68.25,15,FALL,21:38:59
209,-87.36,6,FALL,21:39:03
210,-59.68,19,FALL,21:39:08
211,-68.88,13,FALL,21:39:12
212,-77.40,9,FALL,21:39:17
213,-61.12,18,FALL,21:39:21
214,-53.58,20,FALL,21:39:26
215,-74.80,12,FALL,21:39:31
216,22.19,44,FALL,21:39:37
217,-76.16,10,FALL,21:39:42
218,-52.40,19,FALL,21:39:46
219,-62.83,16,FALL,21:39:51
220,-23.88,32,FALL,21:39:57
221,-27.28,29,FALL,21:40:01
222,-68.85,16,FALL,21:40:05
223,132.40,87,FALL,21:40:13
224,-36.97,27,FALL,21:40:17
225,-31.36,29,FALL,21:40:23
226,-70.61,12,FALL,21:40:28
227,-72.28,15,FALL,21:40:33
228,-35.48,25,FALL,21:40:37
229,-50.18,19,FALL,21:40:43
230,-19.68,32,FALL,21:40:48
231,-0.59,41,FALL,21:40:53
232,-17.25,34,FALL,21:40:58
233,-27.08,31,FALL,21:41:03
234,-36.56,24,FALL,21:41:07
235,-68.77,13,FALL,21:41:11
236,-21.23,33,FALL,21:41:17
237,-47.70,20,FALL,21:41:22
238,-50.13,20,FALL,21:41:26
239,-47.71,22,FALL,21:41:31
240,-61.40,16,FALL,21:41:35
241,-60.15,16,FALL,21:41:40
242,-28.41,28,FALL,21:41:45
243,47.67,53,FALL,21:41:50
244,23.91,46,FALL,21:41:56
245,54.58,57,FALL,21:42:03
246,-19.18,31,FALL,21:42:08
247,-48.40,23,FALL,21:42:13
248,-18.93,30,FALL,21:42:19
249,-62.08,15,FALL,21:42:23
250,-24.74,29,FALL,21:42:29
251,-69.63,12,FALL,21:42:33
252,-39.59,24,FALL,21:42:38
253,81.46,69,FALL,21:42:46
254,-61.05,17,FALL,21:42:50
255,-59.84,16,FALL,21:42:55
256,76.24,65,FALL,21:43:02
257,-72.18,11,FALL,21:43:06
258,-72.77,12,FALL,21:43:10
259,106.26,78,FALL,21:43:17
260,-29.54,27,FALL,21:43:22
261,-71.16,11,FALL,21:43:27
262,-18.88,31,FALL,21:43:32
263,-17.68,32,FALL,21:43:38
264,-54.06,20,FALL,21:43:43
265,107.48,75,FALL,21:43:50
266,71.76,67,FALL,21:43:57
267,-70.39,12,FALL,21:44:02
268,-59.90,17,FALL,21:44:07
269,-33.73,25,FALL,21:44:12
270,-40.84,23,FALL,21:44:17
271,-9.68,36,FALL,21:44:23
272,-9.95,34,FALL,21:44:28
273,-27.14,31,FALL,21:44:34
274,-29.46,27,FALL,21:44:39
275,-65.49,13,FALL,21:44:44
276,-9.75,35,FALL,21:44:50
277,68.55,64,FALL,21:44:56
278,-84.29,7,FALL,21:45:00
279,32.25,51,FALL,21:45:07
280,5.49,40,FALL,21:45:13
281,-21.65,30,FALL,21:45:19
282,34.09,50,FALL,21:45:24
283,-49.86,21,FALL,21:45:29
284,-42.13,24,FALL,21:45:34
285,-39.08,24,FALL,21:45:39
286,-61.71,15,FALL,21:45:44
287,-11.59,35,FALL,21:45:50
288,-67.92,14,FALL,21:45:54
289,3.47,40,FALL,21:46:00
290,-53.12,21,FALL,21:46:04
291,-46.34,21,FALL,21:46:10
292,35.40,53,FALL,21:46:15
293,-57.22,18,FALL,21:46:20
294,5.06,39,FALL,21:46:26
295,-51.44,20,FALL,21:46:30
296,141.04,92,FALL,21:46:37
297,4.22,40,FALL,21:46:44
298,-35.57,23,FALL,21:46:49
299,113.95,78,FALL,21:46:56
300,-63.19,17,FALL,21:47:00
301,-59.17,18,FALL,21:47:05
302,-52.92,20,FALL,21:47:10
303,-76.59,12,FALL,21:47:15
304,50.75,60,FALL,21:47:22
305,-38.94,23,FALL,21:47:26
306,-52.99,18,FALL,21:47:31
307,-66.53,16,FALL,21:47:36
308,24.99,46,FALL,21:47:42
309,94.77,76,FALL,21:47:49
310,-62.13,16,FALL,21:47:54
311,-53.90,19,FALL,21:47:59
312,-35.61,27,FALL,21:48:04
313,-73.38,12,FALL,21:48:08
314,-65.20,14,FALL,21:48:13
315,-44.33,23,FALL,21:48:18
316,-64.92,14,FALL,21:48:22
317,-55.39,20,FALL,21:48:28
318,-61.17,19,FALL,21:48:33
319,-30.47,26,FALL,21:48:38
320,-36.42,24,FALL,21:48:43
321,33.48,52,FALL,21:48:49
322,-57.51,16,FALL,21:48:54
323,-61.72,16,FALL,21:48:58
324,-45.01,23,FALL,21:49:03
325,-37.10,25,FALL,21:49:08
326,-25.74,28,FALL,21:49:12
327,-53.77,19,FALL,21:49:17
328,14.82,45,FALL,21:49:23
329,1.14,39,FALL,21:49:29
330,-51.96,22,FALL,21:49:34
331,-75.20,12,FALL,21:49:39
332,126.55,92,FALL,21:49:47
333,-53.94,20,FALL,21:49:51
334,-37.03,28,FALL,21:49:56
335,-38.01,26,FALL,21:50:02
336,6.21,41,FALL,21:50:08
337,97.40,77,FALL,21:50:15
338,-77.28,11,FALL,21:50:20
339,-60.77,17,FALL,21:50:25
340,12.96,45,FALL,21:50:31
341,-68.55,14,FALL,21:50:36
342,-56.81,18,FALL,21:50:41
343,-46.56,22,FALL,21:50:46
344,-34.98,26,FALL,21:50:51
345,144.24,95,FALL,21:50:59
346,-72.59,12,FALL,21:51:03
347,-56.64,18,FALL,21:51:08
348,-65.35,14,FALL,21:51:13
349,138.24,94,FALL,21:51:20
350,14.44,47,FALL,21:51:26
351,-47.53,24,FALL,21:51:31
352,-44.21,24,FALL,21:51:36
353,-73.64,13,FALL,21:51:41
354,-5.60,37,FALL,21:51:47
355,40.95,57,FALL,21:51:53
356,-53.40,18,FALL,21:51:58
357,14.75,46,FALL,21:52:04
358,19.49,45,FALL,21:52:10
359,35.07,52,FALL,21:52:16
360,-71.83,11,FALL,21:52:20
361,6.09,40,FALL,21:52:26
362,-0.50,39,FALL,21:52:32
363,13.31,44,FALL,21:52:38
364,49.47,61,FALL,21:52:45
365,-50.99,20,FALL,21:52:49
366,67.73,63,FALL,21:52:56
367,-26.69,32,FALL,21:53:01
368,-34.09,28,FALL,21:53:06
369,-25.04,30,FALL,21:53:11
370,-55.61,18,FALL,21:53:16
371,130.74,86,FALL,21:53:24
372,-20.70,31,FALL,21:53:30
373,-58.04,18,FALL,21:53:34
374,-37.56,24,FALL,21:53:40
375,-13.69,34,FALL,21:53:44
376,-54.10,19,FALL,21:53:50
377,136.23,93,FALL,21:53:58
378,-66.30,16,FALL,21:54:02
379,-20.46,32,FALL,21:54:07
380,-58.48,18,FALL,21:54:12
381,-30.67,26,FALL,21:54:17
382,6.05,39,FALL,21:54:23
383,48.44,58,FALL,21:54:29
384,-53.80,20,FALL,21:54:34
385,-62.58,15,FALL,21:54:38
386,-47.68,21,FALL,21:54:43
387,-28.37,28,FALL,21:54:47
388,-27.54,29,FALL,21:54:52
389,-47.36,22,FALL,21:54:56
390,-82.46,9,FALL,21:55:01
391,39.90,54,FALL,21:55:07
392,-67.25,13,FALL,21:55:12
393,29.74,50,FALL,21:55:19
394,-31.23,27,FALL,21:55:23
395,-9.16,36,FALL,21:55:29
396,92.09,76,FALL,21:55:36
397,20.04,47,FALL,21:55:42
398,-58.80,16,FALL,21:55:47
399,-23.64,31,FALL,21:55:52
400,110.82,80,FALL,21:55:59
401,179.17,111,FALL,21:56:07
402,-33.16,27,FALL,21:56:13
403,43.57,55,FALL,21:56:19
404,-9.30,35,FALL,21:56:24
405,88.58,74,FALL,21:56:31
406,-74.09,11,FALL,21:56:36
407,-7.03,39,FALL,21:56:42
408,-24.82,31,FALL,21:56:47
409,-52.10,20,FALL,21:56:52
410,-47.56,20,FALL,21:56:56
411,27.56,48,FALL,21:57:02
412,22.19,46,FALL,21:57:07
413,-25.08,32,FALL,21:57:12
414,-36.40,26,FALL,21:57:17
415,-30.56,27,FALL,21:57:22
416,-81.89,11,FALL,21:57:26
417,-52.17,19,FALL,21:57:31
418,-70.00,13,FALL,21:57:36
419,-8.68,36,FALL,21:57:42
420,392.87,188,FALL,21:57:54
421,-3.36,38,FALL,21:57:59
422,254.77,131,FALL,21:58:08
423,-62.31,18,FALL,21:58:13
424,71.91,67,FALL,21:58:20
425,-63.93,15,FALL,21:58:25
426,-77.00,10,FALL,21:58:29
427,280.98,144,FALL,21:58:39
428,32.99,54,FALL,21:58:45
429,-11.35,34,FALL,21:58:51
