Episode,Reward,Steps,Reason,Time
174,1409.58,360,FALL,14:54:00
175,3738.38,897,FALL,14:54:44
176,1439.48,359,FALL,14:55:04
177,770.01,203,FALL,14:55:16
178,745.08,201,FALL,14:55:29
179,2204.64,542,FALL,14:55:57
180,2105.47,519,FALL,14:56:23
181,1568.03,383,FALL,14:56:43
182,833.03,216,FALL,14:56:56
183,2903.70,703,FALL,14:57:31
184,1502.54,372,FALL,14:57:51
185,844.76,229,FALL,14:58:06
186,801.11,216,FALL,14:58:19
187,801.04,219,FALL,14:58:33
188,1563.23,388,FALL,14:58:53
189,3699.48,888,FALL,14:59:36
190,2202.86,538,FALL,15:00:02
191,6914.14,1638,FALL,15:01:18
192,2138.14,527,FALL,15:01:45
193,811.70,219,FALL,15:01:58
194,1444.90,368,FALL,15:02:18
195,4262.83,1024,FALL,15:03:07
196,715.67,190,FALL,15:03:19
197,774.40,211,FALL,15:03:32
198,1447.97,368,FALL,15:03:52
199,890.11,232,FALL,15:04:07
200,2197.14,538,FALL,15:04:35
201,793.25,207,FALL,15:04:47
202,696.67,191,FALL,15:04:59
203,878.63,230,FALL,15:05:13
204,869.53,231,FALL,15:05:27
205,1561.04,387,FALL,15:05:48
206,2928.20,710,FALL,15:06:23
207,1506.88,383,FALL,15:06:44
208,884.62,233,FALL,15:06:58
209,863.38,223,FALL,15:07:11
210,1472.81,368,FALL,15:07:31
211,747.39,200,FALL,15:07:43
212,803.80,219,FALL,15:07:56
213,1496.84,368,FALL,15:08:16
214,1466.35,359,FALL,15:08:36
215,1509.67,379,FALL,15:08:56
216,1444.01,370,FALL,15:09:16
217,1475.47,374,FALL,15:09:37
218,1426.22,354,FALL,15:09:56
219,749.23,201,FALL,15:10:08
220,1525.98,378,FALL,15:10:28
221,5658.71,1343,FALL,15:11:33
222,730.20,197,FALL,15:11:45
223,1698.37,420,FALL,15:12:08
224,825.00,217,FALL,15:12:22
225,790.94,214,FALL,15:12:35
226,1619.43,402,FALL,15:12:57
227,3709.34,891,FALL,15:13:40
228,756.57,200,FALL,15:13:52
229,796.91,210,FALL,15:14:05
230,2178.12,530,FALL,15:14:33
231,2262.01,551,FALL,15:15:01
232,804.62,211,FALL,15:15:14
233,792.41,210,FALL,15:15:28
234,834.07,215,FALL,15:15:42
235,1461.02,368,FALL,15:16:02
236,1594.25,387,FALL,15:16:23
237,891.14,228,FALL,15:16:38
238,2162.59,526,FALL,15:17:06
239,1512.29,370,FALL,15:17:26
240,3004.75,721,FALL,15:18:03
241,857.14,219,FALL,15:18:17
242,764.10,203,FALL,15:18:29
243,749.63,200,FALL,15:18:42
244,1669.42,413,FALL,15:19:05
245,773.77,201,FALL,15:19:18
246,1545.53,373,FALL,15:19:38
247,1574.81,384,FALL,15:20:00
248,1515.40,378,FALL,15:20:21
249,2193.94,527,FALL,15:20:50
250,1512.49,371,FALL,15:21:11
251,1503.52,368,FALL,15:21:31
252,2273.36,543,FALL,15:22:00
253,789.66,205,FALL,15:22:13
254,895.97,231,FALL,15:22:28
255,3051.61,724,FALL,15:23:05
256,1520.81,372,FALL,15:23:26
257,5779.15,1353,FALL,15:24:34
258,797.52,204,FALL,15:24:47
259,5281.98,1223,FALL,15:25:47
260,4343.95,1008,FALL,15:26:37
261,778.37,201,FALL,15:26:50
262,837.98,213,FALL,15:27:04
263,801.47,208,FALL,15:27:17
264,2225.59,521,FALL,15:27:46
265,864.29,219,FALL,15:27:59
266,900.19,227,FALL,15:28:14
267,852.43,221,FALL,15:28:27
268,808.06,206,FALL,15:28:41
269,2241.96,531,FALL,15:29:09
270,3845.15,885,FALL,15:29:56
271,3017.85,701,FALL,15:30:33
272,3973.85,908,FALL,15:31:20
273,3684.25,854,FALL,15:32:04
274,4616.00,1053,FALL,15:32:58
275,1507.07,362,FALL,15:33:18
276,782.72,201,FALL,15:33:32
277,10685.02,2416,FALL,15:35:31
278,3109.15,723,FALL,15:36:10
279,795.95,202,FALL,15:36:24
280,5248.87,1195,FALL,15:37:25
281,7573.32,1699,FALL,15:38:49
282,2385.69,558,FALL,15:39:20
283,5428.89,1220,FALL,15:40:22
284,851.99,211,FALL,15:40:36
285,2444.57,564,FALL,15:41:06
286,5225.85,1180,FALL,15:42:06
287,2408.12,553,FALL,15:42:36
288,15818.48,3520,FALL,15:45:29
289,2377.06,553,FALL,15:45:58
290,1509.95,360,FALL,15:46:19
291,1642.21,387,FALL,15:46:42
292,837.10,211,FALL,15:46:55
293,846.97,211,FALL,15:47:09
294,7998.34,1795,FALL,15:48:39
295,1552.55,365,FALL,15:48:59
296,2346.92,544,FALL,15:49:29
297,1590.45,373,FALL,15:49:51
298,3958.66,898,FALL,15:50:36
299,1678.71,395,FALL,15:50:59
300,12176.16,2710,FALL,15:53:12
301,3103.45,706,FALL,15:53:49
302,2986.67,685,FALL,15:54:26
303,1597.08,377,FALL,15:54:48
304,3869.96,877,FALL,15:55:34
305,9223.16,2045,FALL,15:57:17
306,19567.58,4321,FALL,16:00:48
307,11121.29,2470,FALL,16:02:50
308,45510.51,9999,TIME_LIMIT,16:10:54
309,45449.78,9999,TIME_LIMIT,16:18:59
310,45477.53,9999,TIME_LIMIT,16:27:01
311,45514.20,9999,TIME_LIMIT,16:35:05
312,45476.98,9999,TIME_LIMIT,16:43:15
313,45572.94,9999,TIME_LIMIT,16:51:18
314,45426.01,9999,TIME_LIMIT,16:59:21
315,45543.26,9999,TIME_LIMIT,17:07:30
316,45477.03,9999,TIME_LIMIT,17:15:33
317,45409.39,9999,TIME_LIMIT,17:23:35
318,45315.01,9999,TIME_LIMIT,17:31:38
319,45514.03,9999,TIME_LIMIT,17:39:42
320,45595.77,9999,TIME_LIMIT,17:47:49
321,45724.35,9999,TIME_LIMIT,17:55:55
322,45797.38,9999,TIME_LIMIT,18:04:02
323,45932.31,9999,TIME_LIMIT,18:12:12
324,45953.72,9999,TIME_LIMIT,18:20:25
325,46082.92,9999,TIME_LIMIT,18:28:37
326,46100.24,9999,TIME_LIMIT,18:36:49
327,46269.87,9999,TIME_LIMIT,18:45:05
328,46343.57,9999,TIME_LIMIT,18:53:21
329,46347.94,9999,TIME_LIMIT,19:01:38
330,46507.00,9999,TIME_LIMIT,19:10:03
331,46668.87,9999,TIME_LIMIT,19:18:34
332,46768.98,9999,TIME_LIMIT,19:27:03
333,46755.58,9999,TIME_LIMIT,19:35:37
334,46816.93,9999,TIME_LIMIT,19:44:08
335,46909.34,9999,TIME_LIMIT,19:52:44
336,46851.18,9999,TIME_LIMIT,20:01:20
337,46824.94,9999,TIME_LIMIT,20:09:54
338,46727.68,9999,TIME_LIMIT,20:18:27
339,46745.63,9999,TIME_LIMIT,20:27:03
340,834.29,202,FALL,20:32:31
341,764.12,188,FALL,20:32:45
342,741.21,181,FALL,20:32:58
343,896.87,217,FALL,20:33:15
344,909.84,216,FALL,20:33:30
345,1675.22,379,FALL,20:33:54
346,1521.11,347,FALL,20:34:17
347,831.20,201,FALL,20:34:31
348,1649.35,375,FALL,20:34:56
349,809.56,196,FALL,20:35:10
350,1640.26,371,FALL,20:35:34
351,1658.26,377,FALL,20:35:59
352,760.68,186,FALL,20:36:13
353,917.37,220,FALL,20:36:28
354,755.90,183,FALL,20:36:41
355,1663.47,379,FALL,20:37:06
356,778.72,189,FALL,20:37:19
357,897.43,214,FALL,20:37:35
358,1524.71,348,FALL,20:37:57
359,869.73,207,FALL,20:38:12
360,1578.32,360,FALL,20:38:35
361,800.66,193,FALL,20:38:49
362,1571.33,355,FALL,20:39:13
363,875.13,209,FALL,20:39:28
364,905.41,215,FALL,20:39:44
365,859.53,205,FALL,20:39:58
366,897.42,213,FALL,20:40:14
367,873.76,209,FALL,20:40:29
368,3995.93,873,FALL,20:41:19
369,850.44,204,FALL,20:41:34
370,791.22,191,FALL,20:41:47
371,1621.48,372,FALL,20:42:11
372,845.36,204,FALL,20:42:25
373,1648.18,375,FALL,20:42:49
374,1647.06,372,FALL,20:43:12
375,879.14,211,FALL,20:43:28
376,861.69,207,FALL,20:43:42
377,1665.22,381,FALL,20:44:06
378,909.76,216,FALL,20:44:21
379,1561.41,356,FALL,20:44:43
380,801.17,194,FALL,20:44:57
381,887.12,213,FALL,20:45:12
382,1630.87,369,FALL,20:45:35
383,825.47,198,FALL,20:45:49
384,935.42,223,FALL,20:46:05
385,795.16,192,FALL,20:46:19
386,757.22,183,FALL,20:46:33
387,780.63,187,FALL,20:46:46
388,1607.06,362,FALL,20:47:09
389,811.56,198,FALL,20:47:23
390,1573.70,356,FALL,20:47:46
391,821.88,197,FALL,20:48:00
392,1646.51,372,FALL,20:48:23
393,824.24,200,FALL,20:48:37
394,838.16,202,FALL,20:48:51
395,878.12,208,FALL,20:49:05
396,2400.88,530,FALL,20:49:37
397,1721.53,386,FALL,20:50:01
398,891.73,212,FALL,20:50:16
399,868.08,208,FALL,20:50:31
400,865.19,207,FALL,20:50:45
401,889.38,210,FALL,20:50:59
402,896.66,211,FALL,20:51:14
403,780.71,187,FALL,20:51:28
404,804.91,191,FALL,20:51:42
405,3368.80,733,FALL,20:52:24
406,787.19,187,FALL,20:52:38
407,1679.79,375,FALL,20:53:00
408,1728.23,387,FALL,20:53:24
409,2301.98,506,FALL,20:53:54
410,890.14,212,FALL,20:54:10
411,978.19,230,FALL,20:54:25
412,785.32,189,FALL,20:54:38
413,785.67,188,FALL,20:54:52
414,1673.77,379,FALL,20:55:16
415,1583.37,355,FALL,20:55:39
416,1709.59,383,FALL,20:56:03
417,909.75,215,FALL,20:56:18
418,918.29,218,FALL,20:56:33
419,848.44,199,FALL,20:56:48
420,759.82,183,FALL,20:57:00
421,806.27,192,FALL,20:57:14
422,813.22,194,FALL,20:57:28
