Episode,Reward,Steps,Reason,Timestamp
154,47.04,25,"FALL (Pitch:-37.6°, Roll:2.1°)",12:25:33
155,55.28,25,"FALL (Pitch:-38.4°, Roll:3.1°)",12:25:38
156,33.97,11,IK_FAIL,12:25:43
157,40.87,21,"FALL (Pitch:-36.9°, Roll:3.5°)",12:25:48
158,33.97,19,"FALL (Pitch:-38.9°, Roll:1.2°)",12:25:53
159,39.37,15,IK_FAIL,12:25:59
160,36.36,19,"FALL (Pitch:-42.3°, Roll:1.0°)",12:26:04
161,69.46,30,"FALL (Pitch:-40.8°, Roll:0.6°)",12:26:10
162,52.91,26,"FALL (Pitch:-39.8°, Roll:1.5°)",12:26:15
163,58.00,27,"FALL (Pitch:-39.8°, Roll:0.8°)",12:26:25
