Episode,Reward,Steps,Reason,Time
0,27.14,21,FALL,07:38:16
1,-14.06,15,FALL,07:38:21
2,-47.42,9,FALL,07:38:26
3,14.59,18,FALL,07:38:30
4,29.57,23,FALL,07:38:35
5,-71.30,6,FALL,07:38:39
6,9.19,19,FALL,07:38:44
7,-70.68,6,FALL,07:38:49
8,-69.05,6,FALL,07:38:53
9,-15.97,14,FALL,07:38:58
10,-19.74,13,FALL,07:39:02
11,-75.82,5,FALL,07:39:06
12,-68.86,6,FALL,07:39:11
13,-78.72,5,FALL,07:39:15
14,86.23,30,FALL,07:39:21
15,-29.04,12,FALL,07:39:25
16,65.53,27,FALL,07:39:30
17,84.89,30,FALL,07:39:36
18,-44.09,10,FALL,07:39:40
19,-64.20,7,FALL,07:39:45
20,-57.55,8,FALL,07:39:49
21,-45.56,10,FALL,07:39:54
22,-11.63,15,FALL,07:39:59
23,38.13,24,FALL,07:40:04
24,16.47,20,FALL,07:40:09
25,-12.15,15,FALL,07:40:14
26,113.14,35,FALL,07:40:20
27,-53.76,9,FALL,07:40:25
28,-34.97,12,FALL,07:40:29
29,123.05,34,FALL,07:40:35
30,-54.76,8,FALL,07:40:39
31,0.12,16,FALL,07:40:44
32,15.87,19,FALL,07:40:49
33,114.40,34,FALL,07:40:55
34,-20.52,14,FALL,07:41:00
35,10.48,18,FALL,07:41:05
36,79.43,30,FALL,07:41:10
37,13.13,19,FALL,07:41:15
38,143.19,37,FALL,07:41:21
39,-23.66,14,FALL,07:41:25
40,-2.67,16,FALL,07:41:30
41,-28.41,12,FALL,07:41:35
42,94.90,30,FALL,07:41:40
43,107.08,32,FALL,07:41:45
44,88.69,32,FALL,07:41:51
45,201.39,48,FALL,07:41:58
46,-59.25,8,FALL,07:42:02
47,21.65,20,FALL,07:42:07
48,91.26,31,FALL,07:42:12
49,10.33,18,FALL,07:42:17
50,-53.55,8,FALL,07:42:21
51,-67.82,7,FALL,07:42:25
52,-37.44,11,FALL,07:42:30
53,-33.58,13,FALL,07:42:34
54,-37.74,11,FALL,07:42:38
55,-47.57,10,FALL,07:42:43
56,175.47,43,FALL,07:42:50
57,325.39,64,FALL,07:42:58
58,78.46,28,FALL,07:43:03
59,-65.80,7,FALL,07:43:08
60,21.09,19,FALL,07:43:13
61,-43.10,11,FALL,07:43:17
62,503.65,90,FALL,07:43:26
63,200.16,48,FALL,07:43:33
64,-39.61,10,FALL,07:43:37
65,-19.28,13,FALL,07:43:41
66,-46.28,10,FALL,07:43:46
67,65.00,27,FALL,07:43:51
68,-50.55,9,FALL,07:43:55
69,-20.41,14,FALL,07:44:00
70,56.56,24,FALL,07:44:05
71,9.51,18,FALL,07:44:10
72,109.85,33,FALL,07:44:16
73,-5.05,16,FALL,07:44:20
74,-64.84,7,FALL,07:44:24
75,-68.94,6,FALL,07:44:28
76,132.41,37,FALL,07:44:34
77,25.53,20,FALL,07:44:39
78,41.60,23,FALL,07:44:45
79,5.54,18,FALL,07:44:50
80,26.08,20,FALL,07:44:54
81,-42.94,10,FALL,07:44:59
82,306.74,63,FALL,07:45:06
83,22.07,20,FALL,07:45:11
84,115.70,34,FALL,07:45:16
85,-44.37,10,FALL,07:45:21
86,-52.74,9,FALL,07:45:25
87,374.13,74,FALL,07:45:33
88,-45.33,10,FALL,07:45:38
89,3.75,17,FALL,07:45:42
90,-36.55,12,FALL,07:45:47
91,326.37,65,FALL,07:45:54
92,322.15,64,FALL,07:46:02
93,-61.42,8,FALL,07:46:07
94,8.54,18,FALL,07:46:12
95,296.45,61,FALL,07:46:19
96,17.39,20,FALL,07:46:24
97,129.97,35,FALL,07:46:30
98,68.95,27,FALL,07:46:35
99,109.70,32,FALL,07:46:41
100,13.77,19,FALL,07:46:45
101,83.13,28,FALL,07:46:51
102,174.84,41,FALL,07:46:56
103,63.77,27,FALL,07:47:01
104,256.69,54,FALL,07:47:09
105,202.41,46,FALL,07:47:15
106,305.17,61,FALL,07:47:21
107,172.35,40,FALL,07:47:28
108,-64.68,7,FALL,07:47:32
109,18.36,18,FALL,07:47:37
110,20.29,19,FALL,07:47:41
111,-16.67,14,FALL,07:47:46
112,240.39,52,FALL,07:47:53
113,-68.24,7,FALL,07:47:57
114,6.60,17,FALL,07:48:01
115,5.64,18,FALL,07:48:06
116,-76.70,5,FALL,07:48:11
117,457.96,82,FALL,07:48:19
118,148.36,40,FALL,07:48:25
119,-25.28,12,FALL,07:48:30
120,137.89,38,FALL,07:48:35
121,36.02,23,FALL,07:48:41
122,320.14,63,FALL,07:48:48
123,-32.15,12,FALL,07:48:53
124,-57.59,8,FALL,07:48:57
125,-60.45,7,FALL,07:49:01
126,-62.35,8,FALL,07:49:05
127,340.66,66,FALL,07:49:13
128,26.66,20,FALL,07:49:18
129,-25.34,12,FALL,07:49:22
130,463.34,82,FALL,07:49:31
131,105.38,32,FALL,07:49:36
132,-43.77,10,FALL,07:49:41
133,1.71,16,FALL,07:49:46
134,286.41,57,FALL,07:49:52
135,47.22,23,FALL,07:49:58
136,13.76,19,FALL,07:50:03
137,56.08,25,FALL,07:50:08
138,242.41,52,FALL,07:50:15
139,142.34,39,FALL,07:50:21
140,-34.14,11,FALL,07:50:26
141,-28.01,12,FALL,07:50:30
142,362.65,69,FALL,07:50:37
143,-45.75,10,FALL,07:50:42
144,-51.48,9,FALL,07:50:46
145,421.97,81,FALL,07:50:55
146,10.10,18,FALL,07:50:59
147,155.65,38,FALL,07:51:05
148,-43.95,10,FALL,07:51:09
149,486.72,88,FALL,07:51:18
150,-30.16,13,FALL,07:51:22
151,374.88,74,FALL,07:51:31
152,4.59,17,FALL,07:51:36
153,47.86,23,FALL,07:51:40
154,37.88,22,FALL,07:51:45
155,39.76,23,FALL,07:51:51
156,446.40,82,FALL,07:51:59
157,57.54,25,FALL,07:52:05
158,197.88,45,FALL,07:52:11
159,14.52,18,FALL,07:52:16
160,-35.36,11,FALL,07:52:20
161,320.59,66,FALL,07:52:28
162,271.43,57,FALL,07:52:35
163,410.78,77,FALL,07:52:43
164,55.95,25,FALL,07:52:48
165,936.66,156,FALL,07:53:01
166,306.72,62,FALL,07:53:08
167,-11.80,14,FALL,07:53:12
168,685.86,114,FALL,07:53:22
169,315.01,62,FALL,07:53:29
170,-8.44,16,FALL,07:53:34
171,335.20,64,FALL,07:53:42
172,225.74,47,FALL,07:53:49
173,84.25,29,FALL,07:53:54
174,92.10,30,FALL,07:54:00
175,350.22,69,FALL,07:54:08
176,374.25,71,FALL,07:54:16
177,364.36,69,FALL,07:54:24
178,47.71,23,FALL,07:54:29
179,87.70,29,FALL,07:54:34
180,-17.40,15,FALL,07:54:39
181,225.70,50,FALL,07:54:45
182,122.07,34,FALL,07:54:51
183,435.54,78,FALL,07:55:00
184,262.08,54,FALL,07:55:06
185,279.30,58,FALL,07:55:13
186,-55.15,8,FALL,07:55:18
187,104.68,31,FALL,07:55:23
188,807.08,131,FALL,07:55:33
189,44.90,23,FALL,07:55:38
190,79.28,28,FALL,07:55:43
191,59.56,25,FALL,07:55:49
192,531.45,91,FALL,07:55:57
193,304.72,61,FALL,07:56:04
194,-56.50,9,FALL,07:56:08
195,-1.49,16,FALL,07:56:13
196,2.21,17,FALL,07:56:18
197,464.51,83,FALL,07:56:27
198,215.94,46,FALL,07:56:33
199,38.22,24,FALL,07:56:38
200,1006.42,163,FALL,07:56:51
201,789.34,131,FALL,07:57:02
202,89.93,29,FALL,07:57:07
203,277.51,56,FALL,07:57:13
204,-54.85,8,FALL,07:57:17
205,107.17,32,FALL,07:57:23
206,342.87,65,FALL,07:57:30
207,280.47,56,FALL,07:57:37
208,399.47,76,FALL,07:57:45
209,804.69,131,FALL,07:57:56
210,110.01,32,FALL,07:58:02
211,387.29,74,FALL,07:58:09
212,357.37,68,FALL,07:58:17
213,16.94,19,FALL,07:58:22
214,116.39,32,FALL,07:58:27
215,893.03,145,FALL,07:58:39
216,181.05,41,FALL,07:58:44
217,1568.30,238,FALL,07:59:01
218,1040.01,163,FALL,07:59:13
219,648.93,108,FALL,07:59:23
220,-24.57,13,FALL,07:59:27
221,282.22,56,FALL,07:59:35
222,-29.18,12,FALL,07:59:39
223,459.96,82,FALL,07:59:47
224,415.13,76,FALL,07:59:55
225,1126.29,172,FALL,08:00:08
226,934.35,148,FALL,08:00:20
227,747.09,121,FALL,08:00:30
228,243.13,50,FALL,08:00:37
229,1734.82,262,FALL,08:00:55
230,518.90,88,FALL,08:01:03
231,832.92,133,FALL,08:01:13
232,976.22,153,FALL,08:01:25
233,635.40,104,FALL,08:01:34
234,588.57,97,FALL,08:01:43
235,315.52,61,FALL,08:01:50
236,1068.65,164,FALL,08:02:02
237,204.19,46,FALL,08:02:09
238,704.93,119,FALL,08:02:19
239,124.17,33,FALL,08:02:24
240,1448.16,221,FALL,08:02:39
241,-38.19,11,FALL,08:02:44
242,1267.49,195,FALL,08:02:58
243,632.22,104,FALL,08:03:08
244,1716.33,257,FALL,08:03:25
245,589.79,101,FALL,08:03:34
246,31.50,21,FALL,08:03:39
247,253.34,53,FALL,08:03:46
248,1748.01,261,FALL,08:04:03
249,1280.45,197,FALL,08:04:18
250,639.56,105,FALL,08:04:27
251,1589.97,240,FALL,08:04:43
252,301.71,58,FALL,08:04:51
253,1116.16,171,FALL,08:05:04
254,627.40,103,FALL,08:05:13
255,28.28,20,FALL,08:05:18
256,2001.31,295,FALL,08:05:38
257,1464.82,220,FALL,08:05:54
258,169.38,40,FALL,08:05:59
259,1546.27,232,FALL,08:06:16
260,796.17,126,FALL,08:06:27
261,397.90,72,FALL,08:06:34
262,1006.40,156,FALL,08:06:46
263,1095.19,169,FALL,08:07:00
264,135.66,35,FALL,08:07:06
265,1859.20,274,FALL,08:07:25
266,385.11,70,FALL,08:07:32
267,488.79,84,FALL,08:07:40
268,1813.24,268,FALL,08:07:58
269,2381.67,349,FALL,08:08:20
270,1009.25,158,FALL,08:08:32
271,912.83,144,FALL,08:08:43
272,837.54,134,FALL,08:08:55
273,1425.71,215,FALL,08:09:10
274,1495.46,225,FALL,08:09:26
275,139.78,37,FALL,08:09:31
276,319.77,61,FALL,08:09:37
277,903.96,143,FALL,08:09:49
278,220.73,48,FALL,08:09:56
279,947.65,147,FALL,08:10:08
280,849.55,133,FALL,08:10:19
281,1387.93,206,FALL,08:10:33
282,1207.45,184,FALL,08:10:47
283,1796.44,266,FALL,08:11:05
284,1491.72,222,FALL,08:11:20
285,5.21,17,FALL,08:11:25
286,1628.23,245,FALL,08:11:42
287,1007.16,155,FALL,08:11:55
288,511.77,87,FALL,08:12:02
289,1453.98,219,FALL,08:12:17
290,314.68,60,FALL,08:12:24
291,503.06,87,FALL,08:12:33
292,-17.52,13,FALL,08:12:37
293,809.17,128,FALL,08:12:49
294,-16.44,14,FALL,08:12:53
295,563.99,94,FALL,08:13:02
296,1388.84,209,FALL,08:13:17
297,696.44,114,FALL,08:13:27
298,610.81,101,FALL,08:13:36
299,889.52,140,FALL,08:13:46
300,1098.94,169,FALL,08:13:59
301,1038.50,161,FALL,08:14:12
302,648.02,105,FALL,08:14:21
303,53.93,24,FALL,08:14:26
304,1273.12,191,FALL,08:14:41
305,1793.81,267,FALL,08:14:59
306,641.36,104,FALL,08:15:08
307,1529.60,228,FALL,08:15:23
308,343.86,64,FALL,08:15:31
