x,y,z,hn,ht,dg,mct,mcn
-0.14,0.03,0.1,0.291457,-0.656063,0.916097,-1.62049,-0.291457
-0.14,0.03,0.11,0.266252,-0.665965,0.809539,-1.52384,-0.266252
-0.14,0.03,0.12,0.244979,-0.701614,0.665998,-1.41594,-0.244979
-0.14,0.03,0.13,0.226799,-0.782518,0.454574,-1.28542,-0.226799
-0.14,0.04,0.1,0.380506,-0.657101,0.882769,-1.5882,-0.380506
-0.14,0.04,0.11,0.348771,-0.673877,0.769277,-1.49149,-0.348771
-0.14,0.04,0.12,0.321751,-0.718675,0.614591,-1.3816,-0.321751
-0.14,0.04,0.13,0.298499,-0.819967,0.373672,-1.24197,-0.298499
-0.14,0.05,0.1,0.463648,-0.661754,0.836751,-1.54684,-0.463648
-0.14,0.05,0.11,0.426627,-0.687712,0.71333,-1.44937,-0.426627
-0.14,0.05,0.12,0.394791,-0.746273,0.540785,-1.33539,-0.394791
-0.14,0.05,0.13,0.367174,-0.893281,0.230768,-1.17238,-0.367174
-0.14,0.06,0.1,0.54042,-0.672599,0.775192,-1.49612,-0.54042
-0.14,0.06,0.11,0.499347,-0.710943,0.637177,-1.39645,-0.499347
-0.14,0.06,0.12,0.463648,-0.792183,0.433028,-1.27354,-0.463648
-0.14,0.07,0.1,0.610726,-0.693311,0.693494,-1.43514,-0.610726
-0.14,0.07,0.11,0.566729,-0.749811,0.531918,-1.33006,-0.566729
-0.14,0.07,0.12,0.528074,-0.88253,0.250719,-1.18158,-0.528074
-0.14,0.08,0.1,0.674741,-0.730063,0.58301,-1.36141,-0.674741
-0.14,0.08,0.11,0.628796,-0.819967,0.373672,-1.24197,-0.628796
-0.14,0.09,0.1,0.732815,-0.797295,0.421834,-1.26746,-0.732815
-0.13,-0.1,0.1,-0.785398,-0.568465,0.668734,-1.28553,0.785398
-0.13,-0.1,0.11,-0.737815,-0.65224,0.479251,-1.17982,0.737815
-0.13,-0.09,0.1,-0.732815,-0.519382,0.802741,-1.37045,0.732815
-0.13,-0.09,0.11,-0.68573,-0.574821,0.653032,-1.27619,0.68573
-0.13,-0.09,0.12,-0.643501,-0.6743,0.434043,-1.15668,0.643501
-0.13,-0.08,0.1,-0.674741,-0.489227,0.905607,-1.44317,0.674741
-0.13,-0.08,0.11,-0.628796,-0.528216,0.77647,-1.35302,0.628796
-0.13,-0.08,0.12,-0.588003,-0.595603,0.603508,-1.24744,0.588003
-0.13,-0.08,0.13,-0.551655,-0.730103,0.325594,-1.10403,0.551655
-0.13,-0.07,0.1,-0.610726,-0.471515,0.986736,-1.50658,0.610726
-0.13,-0.07,0.11,-0.566729,-0.498581,0.870775,-1.41769,0.566729
-0.13,-0.07,0.12,-0.528074,-0.548168,0.72102,-1.31752,0.528074
-0.13,-0.07,0.13,-0.493941,-0.637395,0.510573,-1.1963,0.493941
-0.13,-0.06,0.1,-0.54042,-0.462472,1.05102,-1.56183,0.54042
-0.13,-0.06,0.11,-0.499347,-0.479975,0.944465,-1.47277,0.499347
-0.13,-0.06,0.12,-0.463648,-0.517284,0.809172,-1.37479,0.463648
-0.13,-0.06,0.13,-0.432408,-0.584873,0.628752,-1.26196,0.432408
-0.13,-0.06,0.14,-0.404892,-0.721927,0.341019,-1.11128,0.404892
-0.13,-0.05,0.1,-0.463648,-0.459408,1.10148,-1.60922,0.463648
-0.13,-0.05,0.11,-0.426627,-0.468912,1.00204,-1.51928,0.426627
-0.13,-0.05,0.12,-0.394791,-0.496928,0.876684,-1.42194,0.394791
-0.13,-0.05,0.13,-0.367174,-0.550895,0.713785,-1.31301,0.367174
-0.13,-0.05,0.14,-0.343024,-0.65224,0.479251,-1.17982,0.343024
-0.13,-0.04,0.1,-0.380506,-0.460154,1.1402,-1.64869,0.380506
-0.13,-0.04,0.11,-0.348771,-0.462961,1.04626,-1.55755,0.348771
-0.13,-0.04,0.12,-0.321751,-0.483726,0.928035,-1.46009,0.321751
-0.13,-0.04,0.13,-0.298499,-0.528216,0.77647,-1.35302,0.298499
-0.13,-0.04,0.14,-0.2783,-0.611098,0.568133,-1.22756,0.2783
-0.13,-0.04,0.15,-0.260602,-0.825741,0.154669,-1.02874,0.260602
-0.13,-0.03,0.1,-0.291457,-0.46287,1.16873,-1.67993,0.291457
-0.13,-0.03,0.11,-0.266252,-0.460271,1.07898,-1.58758,0.266252
-0.13,-0.03,0.12,-0.244979,-0.475467,0.965873,-1.48967,0.244979
-0.13,-0.03,0.13,-0.226799,-0.513217,0.821879,-1.38343,0.226799
-0.13,-0.03,0.14,-0.211093,-0.584873,0.628752,-1.26196,0.211093
-0.13,-0.03,0.15,-0.197396,-0.738766,0.309408,-1.09651,0.197396
-0.13,-0.02,0.1,-0.197396,-0.46602,1.18825,-1.7026,0.197396
-0.13,-0.02,0.11,-0.179853,-0.459408,1.10148,-1.60922,0.179853
-0.13,-0.02,0.12,-0.165149,-0.470613,0.991869,-1.51081,0.165149
-0.13,-0.02,0.13,-0.152649,-0.503771,0.852785,-1.40489,0.152649
-0.13,-0.02,0.14,-0.141897,-0.568465,0.668734,-1.28553,0.141897
-0.13,-0.02,0.15,-0.132552,-0.69975,0.383625,-1.13171,0.132552
-0.13,-0.01,0.1,-0.0996687,-0.468416,1.19962,-1.71636,0.0996687
-0.13,-0.01,0.11,-0.0906599,-0.459324,1.11464,-1.6223,0.0906599
-0.13,-0.01,0.12,-0.0831412,-0.468113,1.00708,-1.52352,0.0831412
-0.13,-0.01,0.13,-0.0767719,-0.498581,0.870775,-1.41769,0.0767719
-0.13,-0.01,0.14,-0.0713075,-0.559412,0.691624,-1.29937,0.0713075
-0.13,-0.01,0.15,-0.0665682,-0.680301,0.421997,-1.15063,0.0665682
-0.13,-1.04083e-17,0.1,-1.04083e-16,-0.469302,1.20334,-1.72098,1.04083e-16
-0.13,-1.04083e-17,0.11,-9.46213e-17,-0.459369,1.11897,-1.62667,9.46213e-17
-0.13,-1.04083e-17,0.12,-8.67362e-17,-0.467349,1.01208,-1.52776,8.67362e-17
-0.13,-1.04083e-17,0.13,-8.00642e-17,-0.496928,0.876684,-1.42194,8.00642e-17
-0.13,-1.04083e-17,0.14,-7.43453e-17,-0.556515,0.699089,-1.30394,7.43453e-17
-0.13,-1.04083e-17,0.15,-6.93889e-17,-0.6743,0.434043,-1.15668,6.93889e-17
-0.13,0.01,0.1,0.0996687,-0.468416,1.19962,-1.71636,-0.0996687
-0.13,0.01,0.11,0.0906599,-0.459324,1.11464,-1.6223,-0.0906599
-0.13,0.01,0.12,0.0831412,-0.468113,1.00708,-1.52352,-0.0831412
-0.13,0.01,0.13,0.0767719,-0.498581,0.870775,-1.41769,-0.0767719
-0.13,0.01,0.14,0.0713075,-0.559412,0.691624,-1.29937,-0.0713075
-0.13,0.01,0.15,0.0665682,-0.680301,0.421997,-1.15063,-0.0665682
-0.13,0.02,0.1,0.197396,-0.46602,1.18825,-1.7026,-0.197396
-0.13,0.02,0.11,0.179853,-0.459408,1.10148,-1.60922,-0.179853
-0.13,0.02,0.12,0.165149,-0.470613,0.991869,-1.51081,-0.165149
-0.13,0.02,0.13,0.152649,-0.503771,0.852785,-1.40489,-0.152649
-0.13,0.02,0.14,0.141897,-0.568465,0.668734,-1.28553,-0.141897
-0.13,0.02,0.15,0.132552,-0.69975,0.383625,-1.13171,-0.132552
-0.13,0.03,0.1,0.291457,-0.46287,1.16873,-1.67993,-0.291457
-0.13,0.03,0.11,0.266252,-0.460271,1.07898,-1.58758,-0.266252
-0.13,0.03,0.12,0.244979,-0.475467,0.965873,-1.48967,-0.244979
-0.13,0.03,0.13,0.226799,-0.513217,0.821879,-1.38343,-0.226799
-0.13,0.03,0.14,0.211093,-0.584873,0.628752,-1.26196,-0.211093
-0.13,0.03,0.15,0.197396,-0.738766,0.309408,-1.09651,-0.197396
-0.13,0.04,0.1,0.380506,-0.460154,1.1402,-1.64869,-0.380506
-0.13,0.04,0.11,0.348771,-0.462961,1.04626,-1.55755,-0.348771
-0.13,0.04,0.12,0.321751,-0.483726,0.928035,-1.46009,-0.321751
-0.13,0.04,0.13,0.298499,-0.528216,0.77647,-1.35302,-0.298499
-0.13,0.04,0.14,0.2783,-0.611098,0.568133,-1.22756,-0.2783
-0.13,0.04,0.15,0.260602,-0.825741,0.154669,-1.02874,-0.260602
-0.13,0.05,0.1,0.463648,-0.459408,1.10148,-1.60922,-0.463648
-0.13,0.05,0.11,0.426627,-0.468912,1.00204,-1.51928,-0.426627
-0.13,0.05,0.12,0.394791,-0.496928,0.876684,-1.42194,-0.394791
-0.13,0.05,0.13,0.367174,-0.550895,0.713785,-1.31301,-0.367174
-0.13,0.05,0.14,0.343024,-0.65224,0.479251,-1.17982,-0.343024
-0.13,0.06,0.1,0.54042,-0.462472,1.05102,-1.56183,-0.54042
-0.13,0.06,0.11,0.499347,-0.479975,0.944465,-1.47277,-0.499347
-0.13,0.06,0.12,0.463648,-0.517284,0.809172,-1.37479,-0.463648
-0.13,0.06,0.13,0.432408,-0.584873,0.628752,-1.26196,-0.432408
-0.13,0.06,0.14,0.404892,-0.721927,0.341019,-1.11128,-0.404892
-0.13,0.07,0.1,0.610726,-0.471515,0.986736,-1.50658,-0.610726
-0.13,0.07,0.11,0.566729,-0.498581,0.870775,-1.41769,-0.566729
-0.13,0.07,0.12,0.528074,-0.548168,0.72102,-1.31752,-0.528074
-0.13,0.07,0.13,0.493941,-0.637395,0.510573,-1.1963,-0.493941
-0.13,0.08,0.1,0.674741,-0.489227,0.905607,-1.44317,-0.674741
-0.13,0.08,0.11,0.628796,-0.528216,0.77647,-1.35302,-0.628796
-0.13,0.08,0.12,0.588003,-0.595603,0.603508,-1.24744,-0.588003
-0.13,0.08,0.13,0.551655,-0.730103,0.325594,-1.10403,-0.551655
-0.13,0.09,0.1,0.732815,-0.519382,0.802741,-1.37045,-0.732815
-0.13,0.09,0.11,0.68573,-0.574821,0.653032,-1.27619,-0.68573
-0.13,0.09,0.12,0.643501,-0.6743,0.434043,-1.15668,-0.643501
-0.13,0.1,0.1,0.785398,-0.568465,0.668734,-1.28553,-0.785398
-0.13,0.1,0.11,0.737815,-0.65224,0.479251,-1.17982,-0.737815
-0.12,-0.1,0.1,-0.785398,-0.348143,0.948227,-1.3447,0.785398
-0.12,-0.1,0.11,-0.737815,-0.396834,0.815015,-1.26018,0.737815
-0.12,-0.1,0.12,-0.694738,-0.471984,0.640315,-1.16063,0.694738
-0.12,-0.1,0.13,-0.655696,-0.606712,0.371838,-1.02688,0.655696
-0.12,-0.09,0.1,-0.732815,-0.316149,1.05497,-1.41945,0.732815
-0.12,-0.09,0.11,-0.68573,-0.352136,0.936312,-1.33678,0.68573
-0.12,-0.09,0.12,-0.643501,-0.407994,0.787259,-1.24358,0.643501
-0.12,-0.09,0.13,-0.605545,-0.497142,0.586784,-1.13226,0.605545
